packet_size,request_rate,source_ip,destination_ip,protocol_type,label
821,5.086815310042008,210.243.137.112,192.168.1.1,UDP,normal
1413,4.688957275047848,27.172.34.173,192.168.1.1,TCP,normal
909,206.82871240457774,155.190.70.18,192.168.1.1,TCP,ddos
813,1.3476925289058188,247.215.33.189,192.168.1.1,TCP,normal
1093,6.67011523480684,231.95.27.242,192.168.1.1,ICMP,normal
133,8.450688869092486,198.47.74.194,192.168.1.1,ICMP,normal
185,1.1350548107892944,44.169.229.22,192.168.1.1,ICMP,normal
774,765.8073232672072,111.88.58.3,192.168.1.1,TCP,ddos
787,9.415686615350209,105.77.230.5,192.168.1.1,UDP,normal
909,3.7703057816181653,11.132.240.90,192.168.1.1,UDP,normal
73,0.31629718782071703,122.16.143.65,192.168.1.1,UDP,port_scan
81,0.9895736500409844,136.133.134.119,192.168.1.1,UDP,port_scan
66,0.5671196725013068,8.236.144.196,192.168.1.1,UDP,port_scan
491,6.947367794061769,182.196.163.49,192.168.1.1,ICMP,normal
1186,7.194618330611407,81.72.142.200,192.168.1.1,UDP,normal
1130,8.564119250774697,18.28.5.149,192.168.1.1,UDP,normal
519,1.3119305114453237,62.110.36.197,192.168.1.1,UDP,normal
69,0.9570046754286938,214.144.62.11,192.168.1.1,TCP,port_scan
580,9.978541787294159,17.76.234.73,192.168.1.1,UDP,normal
79,0.7554547201132413,29.242.186.143,192.168.1.1,UDP,port_scan
64,0.7800185359804617,217.183.216.253,192.168.1.1,UDP,port_scan
307,6.826307128963689,117.44.155.154,192.168.1.1,TCP,normal
84,0.9733178316878741,50.76.235.225,192.168.1.1,TCP,port_scan
1337,3.3181177551463232,84.55.242.236,192.168.1.1,UDP,normal
75,0.11971161971523786,187.119.106.147,192.168.1.1,UDP,port_scan
989,592.875985192234,128.39.72.39,192.168.1.1,TCP,ddos
1434,1.7247166479702933,87.81.45.166,192.168.1.1,TCP,normal
758,8.601337943446604,47.32.54.20,192.168.1.1,UDP,normal
374,6.859108573219776,110.227.222.94,192.168.1.1,UDP,normal
87,0.18641286605870533,248.29.215.48,192.168.1.1,UDP,port_scan
655,9.121482875777604,6.194.211.81,192.168.1.1,ICMP,normal
66,0.15974466650171434,160.79.148.44,192.168.1.1,TCP,port_scan
96,3.7477977659493913,167.232.3.138,192.168.1.1,ICMP,normal
1139,5.669599452995115,206.4.108.195,192.168.1.1,UDP,normal
793,5.355583474660779,56.111.192.94,192.168.1.1,ICMP,normal
1490,2.2502147004994733,25.128.243.216,192.168.1.1,TCP,normal
1142,373.1499615937575,58.7.26.17,192.168.1.1,TCP,ddos
1452,7.936762817408771,85.150.127.179,192.168.1.1,TCP,normal
51,0.9632794337321294,157.19.231.124,192.168.1.1,UDP,port_scan
739,0.9545294151664161,181.96.81.168,192.168.1.1,UDP,normal
275,0.8829259026421717,2.211.28.212,192.168.1.1,ICMP,normal
107,0.983806560124813,40.197.50.162,192.168.1.1,TCP,normal
748,9.31196505510121,234.42.252.45,192.168.1.1,TCP,normal
648,5.449647002898965,147.163.138.104,192.168.1.1,TCP,normal
667,4.209475879198039,50.115.27.136,192.168.1.1,UDP,normal
727,9.370149091278744,255.167.243.19,192.168.1.1,UDP,normal
52,0.8546781533097284,221.42.61.134,192.168.1.1,UDP,port_scan
422,5.59095874589483,194.15.193.134,192.168.1.1,ICMP,normal
60,0.7026161482778687,114.6.177.120,192.168.1.1,UDP,port_scan
103,6.380437603209448,111.148.116.160,192.168.1.1,UDP,normal
538,3.9566406805917262,167.245.107.121,192.168.1.1,TCP,normal
662,4.573248037138423,116.217.11.46,192.168.1.1,ICMP,normal
71,0.9437396854588581,220.67.119.82,192.168.1.1,TCP,port_scan
1108,4.318596814762469,51.72.153.79,192.168.1.1,TCP,normal
58,0.34778564490707325,83.69.31.72,192.168.1.1,UDP,port_scan
809,1.1351807611368014,57.202.218.138,192.168.1.1,UDP,normal
75,8.495122070307406,114.141.36.26,192.168.1.1,UDP,normal
67,0.7653639771492243,186.186.13.96,192.168.1.1,TCP,port_scan
68,0.8491237393819495,133.223.191.234,192.168.1.1,TCP,port_scan
1077,152.61395239633686,188.43.7.33,192.168.1.1,TCP,ddos
1023,0.5321571586901654,239.196.115.168,192.168.1.1,ICMP,normal
1059,7.912566483761994,195.167.200.150,192.168.1.1,ICMP,normal
702,7.888695795450104,232.74.68.77,192.168.1.1,TCP,normal
1400,9.14609813206242,198.149.13.65,192.168.1.1,TCP,normal
1225,3.8415751601940196,254.186.200.15,192.168.1.1,TCP,normal
953,5.345806737605426,189.66.89.139,192.168.1.1,TCP,normal
589,636.8366350051456,21.193.160.34,192.168.1.1,TCP,ddos
1077,8.619895434111621,152.110.203.8,192.168.1.1,ICMP,normal
252,4.433221814511819,72.26.78.42,192.168.1.1,ICMP,normal
514,2.0652321426355114,83.15.238.100,192.168.1.1,TCP,normal
185,412.62090528175713,247.39.81.10,192.168.1.1,TCP,ddos
1416,918.84769734648,82.213.37.31,192.168.1.1,TCP,ddos
315,7.9653848522690645,97.80.132.206,192.168.1.1,ICMP,normal
435,0.2905348851989219,83.101.51.80,192.168.1.1,TCP,normal
1048,574.4819421098714,45.130.129.19,192.168.1.1,TCP,ddos
1379,849.1905675852397,66.133.56.23,192.168.1.1,TCP,ddos
204,5.828085338474864,113.209.108.198,192.168.1.1,ICMP,normal
554,826.1113547097659,145.112.239.42,192.168.1.1,TCP,ddos
1398,0.9736054370620879,96.78.207.7,192.168.1.1,TCP,normal
1199,5.744440562291093,163.248.195.93,192.168.1.1,UDP,normal
739,3.421670820172869,218.155.182.10,192.168.1.1,TCP,normal
939,9.025708257779085,241.161.205.225,192.168.1.1,TCP,normal
928,7.518951689651862,119.201.161.243,192.168.1.1,TCP,normal
1316,6.9196822092870125,235.8.127.94,192.168.1.1,TCP,normal
618,4.320624963527368,252.58.73.235,192.168.1.1,UDP,normal
1398,0.660612016738902,206.40.25.216,192.168.1.1,ICMP,normal
192,978.7890870023302,178.92.26.23,192.168.1.1,TCP,ddos
43,0.33172828608330274,222.61.51.151,192.168.1.1,UDP,port_scan
801,1.578752595472914,37.108.143.7,192.168.1.1,TCP,normal
924,8.9337440371548,254.221.236.247,192.168.1.1,UDP,normal
1115,153.6005997511247,72.131.152.22,192.168.1.1,TCP,ddos
883,2.5189899053034037,66.141.29.235,192.168.1.1,UDP,normal
88,0.607969712050492,187.6.84.169,192.168.1.1,TCP,port_scan
1227,2.188092022149283,43.95.144.49,192.168.1.1,UDP,normal
521,2.7821208631197463,254.166.186.251,192.168.1.1,ICMP,normal
621,2.089639750877518,154.106.253.210,192.168.1.1,UDP,normal
1279,1.2647886258189738,160.68.151.34,192.168.1.1,TCP,normal
686,8.690712479657408,152.243.14.241,192.168.1.1,ICMP,normal
310,3.3872970727983223,99.229.26.137,192.168.1.1,UDP,normal
1414,3.0331385160841724,81.216.244.211,192.168.1.1,UDP,normal
83,0.5921804528707949,225.165.168.20,192.168.1.1,UDP,port_scan
814,1.2782026042059618,237.192.219.180,192.168.1.1,ICMP,normal
711,1.1737409094239055,68.240.212.234,192.168.1.1,TCP,normal
401,4.800900373063133,22.230.61.54,192.168.1.1,TCP,normal
41,0.8899604401602136,6.102.247.37,192.168.1.1,TCP,port_scan
727,3.767384249420123,93.175.186.100,192.168.1.1,TCP,normal
202,3.7546645141589567,44.79.159.162,192.168.1.1,TCP,normal
855,3.3619613026344424,166.13.106.95,192.168.1.1,TCP,normal
543,9.156193565185779,40.249.209.82,192.168.1.1,ICMP,normal
888,3.9500713053589913,20.231.215.27,192.168.1.1,ICMP,normal
1083,975.419769799545,36.34.248.34,192.168.1.1,TCP,ddos
884,469.99410403450094,14.113.122.28,192.168.1.1,TCP,ddos
99,8.957791160441424,87.79.109.67,192.168.1.1,ICMP,normal
1252,8.194327961547703,79.28.97.18,192.168.1.1,ICMP,normal
596,1.0781191241411892,128.161.119.243,192.168.1.1,UDP,normal
1001,8.895817071712337,23.220.15.209,192.168.1.1,TCP,normal
785,1.8416449269778776,68.62.23.230,192.168.1.1,ICMP,normal
438,9.892680864447746,27.191.207.92,192.168.1.1,UDP,normal
1475,0.5936893726423966,70.164.179.236,192.168.1.1,ICMP,normal
721,7.5031676031089205,99.43.246.115,192.168.1.1,TCP,normal
696,4.137079198969023,168.222.137.209,192.168.1.1,UDP,normal
210,0.9951525511845479,126.22.254.202,192.168.1.1,UDP,normal
1328,2.8035617799108543,117.120.218.117,192.168.1.1,UDP,normal
248,7.875451084421781,158.109.178.124,192.168.1.1,TCP,normal
447,2.096649451249025,193.186.158.212,192.168.1.1,TCP,normal
158,4.934774497607593,95.176.73.152,192.168.1.1,TCP,normal
1265,9.915824682463255,13.226.216.99,192.168.1.1,TCP,normal
793,2.202961232474436,30.216.158.25,192.168.1.1,TCP,normal
506,4.050848218716583,242.78.177.199,192.168.1.1,ICMP,normal
1423,9.37228981083848,127.64.68.150,192.168.1.1,TCP,normal
1239,0.14319703253848023,26.215.196.238,192.168.1.1,UDP,normal
457,4.903654433128,228.116.74.138,192.168.1.1,ICMP,normal
87,5.189338403317264,193.170.28.226,192.168.1.1,UDP,normal
46,0.6934123945842702,70.232.153.240,192.168.1.1,TCP,port_scan
1480,2.365802337102645,11.33.64.180,192.168.1.1,UDP,normal
236,0.511883231197568,188.116.195.12,192.168.1.1,UDP,normal
809,6.978702841075156,6.116.75.32,192.168.1.1,ICMP,normal
715,5.606237609602049,177.65.212.58,192.168.1.1,UDP,normal
46,0.4608986866331811,55.186.24.77,192.168.1.1,TCP,port_scan
1488,246.87579640843387,116.223.15.22,192.168.1.1,TCP,ddos
1494,8.515954394844712,86.108.138.219,192.168.1.1,ICMP,normal
1244,3.11015280160444,80.17.53.18,192.168.1.1,TCP,normal
921,0.24395188504682586,71.172.189.185,192.168.1.1,UDP,normal
291,9.832706269820887,232.9.72.195,192.168.1.1,TCP,normal
1399,6.695998856077825,53.2.221.46,192.168.1.1,ICMP,normal
54,0.8953890424959657,128.54.191.90,192.168.1.1,TCP,port_scan
1120,447.700318481909,103.78.232.24,192.168.1.1,TCP,ddos
391,6.387861637557879,126.141.169.140,192.168.1.1,ICMP,normal
563,4.377575281637861,211.143.190.138,192.168.1.1,UDP,normal
82,0.9912503265944288,204.142.74.30,192.168.1.1,UDP,port_scan
1138,1.0745286250655355,239.184.97.60,192.168.1.1,UDP,normal
353,0.11893897658449165,97.57.85.102,192.168.1.1,ICMP,normal
1218,7.808506799479472,87.122.83.131,192.168.1.1,TCP,normal
939,653.0438627933349,184.135.177.46,192.168.1.1,TCP,ddos
381,727.5250350350897,41.189.129.41,192.168.1.1,TCP,ddos
1338,0.8943934101210627,101.70.55.4,192.168.1.1,TCP,normal
1297,0.5735800815460924,46.235.15.178,192.168.1.1,TCP,normal
1308,7.345210918126852,208.152.130.163,192.168.1.1,TCP,normal
1023,1.9733395275150476,160.51.94.218,192.168.1.1,ICMP,normal
1167,3.518907061915212,94.42.81.237,192.168.1.1,TCP,normal
89,0.28162840094964403,7.144.218.188,192.168.1.1,UDP,port_scan
52,0.13345405873448313,6.251.70.86,192.168.1.1,TCP,port_scan
322,8.22654983529064,173.1.131.96,192.168.1.1,ICMP,normal
1033,9.439939585508496,116.17.207.152,192.168.1.1,TCP,normal
1413,0.3758508663666109,76.18.232.106,192.168.1.1,TCP,normal
1340,527.013013996466,182.207.156.33,192.168.1.1,TCP,ddos
71,0.47347679753858063,181.186.230.144,192.168.1.1,UDP,port_scan
735,3.691311432690324,62.159.53.225,192.168.1.1,UDP,normal
939,3.031138852379692,243.199.83.209,192.168.1.1,UDP,normal
934,3.9699123169206585,202.24.62.89,192.168.1.1,ICMP,normal
1068,5.178740235878517,89.101.240.66,192.168.1.1,TCP,normal
727,9.544370162461913,251.20.168.240,192.168.1.1,TCP,normal
960,8.073382132931847,197.1.118.213,192.168.1.1,UDP,normal
714,7.769653952246699,207.223.174.118,192.168.1.1,ICMP,normal
91,5.299617530334185,196.72.201.64,192.168.1.1,ICMP,normal
59,0.8166688000128532,56.137.15.118,192.168.1.1,UDP,port_scan
1120,8.360921065480374,120.88.164.26,192.168.1.1,UDP,normal
1450,9.785806307877824,69.119.210.123,192.168.1.1,ICMP,normal
130,7.709423117253258,82.24.122.207,192.168.1.1,TCP,normal
445,7.5658878779269525,55.145.137.64,192.168.1.1,ICMP,normal
402,475.6038441156457,204.242.246.44,192.168.1.1,TCP,ddos
1215,8.87234287734925,158.104.128.207,192.168.1.1,TCP,normal
1196,9.20461922520979,150.207.206.209,192.168.1.1,ICMP,normal
554,2.741648221337271,249.32.57.41,192.168.1.1,UDP,normal
1183,4.322258546114286,81.23.154.205,192.168.1.1,TCP,normal
50,0.6039703973819296,37.163.81.144,192.168.1.1,TCP,port_scan
918,2.27788851252307,218.41.232.53,192.168.1.1,ICMP,normal
798,0.6878060194173209,159.122.237.220,192.168.1.1,ICMP,normal
600,2.6523861395189137,69.18.149.23,192.168.1.1,ICMP,normal
597,4.421608595660416,26.125.91.108,192.168.1.1,ICMP,normal
1445,8.593497207149051,182.75.84.35,192.168.1.1,UDP,normal
1381,4.96626791241942,65.248.59.142,192.168.1.1,ICMP,normal
660,9.138200929574406,175.33.159.10,192.168.1.1,UDP,normal
1418,302.96081964773884,3.24.156.30,192.168.1.1,TCP,ddos
209,8.872404438294133,87.145.94.198,192.168.1.1,UDP,normal
691,7.932771503077154,79.250.41.199,192.168.1.1,TCP,normal
249,627.7565128520987,253.196.132.36,192.168.1.1,TCP,ddos
643,7.46472877097938,134.65.216.195,192.168.1.1,UDP,normal
286,6.16118527285134,193.21.233.142,192.168.1.1,UDP,normal
198,6.543972698918502,182.132.61.79,192.168.1.1,TCP,normal
1260,4.087237604706091,59.70.190.88,192.168.1.1,UDP,normal
1437,6.329134186037582,10.92.246.71,192.168.1.1,ICMP,normal
777,4.990970773671211,1.213.144.183,192.168.1.1,ICMP,normal
1073,6.373941452445255,115.87.33.25,192.168.1.1,ICMP,normal
1496,637.3160024534384,74.245.60.4,192.168.1.1,TCP,ddos
806,5.365698746676148,19.97.191.144,192.168.1.1,ICMP,normal
916,4.508956432494095,41.113.16.113,192.168.1.1,TCP,normal
46,0.7720923074105279,17.16.252.41,192.168.1.1,TCP,port_scan
876,717.0885686648694,222.165.242.34,192.168.1.1,TCP,ddos
1275,493.1159003216414,187.32.177.36,192.168.1.1,TCP,ddos
1478,6.675262986819305,121.37.143.155,192.168.1.1,ICMP,normal
1312,119.97358691602793,188.93.165.44,192.168.1.1,TCP,ddos
471,5.8189727254786625,240.52.239.7,192.168.1.1,UDP,normal
759,6.730457446898952,81.225.54.214,192.168.1.1,ICMP,normal
814,977.2507928115587,67.79.133.15,192.168.1.1,TCP,ddos
590,4.334528728142208,84.86.12.161,192.168.1.1,UDP,normal
97,0.14245433421947926,186.90.135.36,192.168.1.1,UDP,port_scan
548,4.256107122019059,155.177.140.19,192.168.1.1,TCP,normal
1369,1.599541239620079,81.131.36.85,192.168.1.1,TCP,normal
1225,3.436210785226099,151.67.183.132,192.168.1.1,TCP,normal
940,8.95279175053856,82.170.199.124,192.168.1.1,UDP,normal
56,0.3335293375916314,165.145.126.140,192.168.1.1,UDP,port_scan
72,0.3133242889742176,244.255.125.29,192.168.1.1,TCP,port_scan
408,7.437434833214885,103.130.59.74,192.168.1.1,UDP,normal
145,1.446882214483808,194.158.212.250,192.168.1.1,ICMP,normal
70,0.30215327726154023,59.176.144.133,192.168.1.1,TCP,port_scan
399,4.41923158520925,22.223.148.193,192.168.1.1,ICMP,normal
1286,4.782935196611145,55.85.144.233,192.168.1.1,ICMP,normal
849,0.3402498891306013,197.138.30.75,192.168.1.1,ICMP,normal
44,0.9653120345361109,31.26.157.166,192.168.1.1,TCP,port_scan
1083,7.932722111653247,171.148.126.248,192.168.1.1,ICMP,normal
120,6.5186940441790835,142.149.213.113,192.168.1.1,TCP,normal
59,0.7539838338735133,210.164.201.109,192.168.1.1,UDP,port_scan
1010,6.783086221809036,206.228.199.30,192.168.1.1,TCP,normal
444,7.2679548637492974,41.158.158.220,192.168.1.1,ICMP,normal
1457,3.7329897877912255,184.73.175.167,192.168.1.1,ICMP,normal
787,7.683467598401662,80.1.88.136,192.168.1.1,TCP,normal
79,0.7949656908050962,146.47.132.118,192.168.1.1,UDP,port_scan
542,0.9005039124020497,81.216.158.35,192.168.1.1,TCP,normal
438,9.48713086839471,198.156.114.192,192.168.1.1,UDP,normal
83,0.18060686611094984,62.12.45.64,192.168.1.1,UDP,port_scan
1099,4.705563767718373,158.143.200.30,192.168.1.1,ICMP,normal
713,7.880393174189099,229.105.110.170,192.168.1.1,TCP,normal
121,7.411534445994897,163.213.180.63,192.168.1.1,UDP,normal
1331,2.4633739665445686,220.151.153.22,192.168.1.1,ICMP,normal
881,4.571359366588676,84.103.34.110,192.168.1.1,ICMP,normal
287,3.9349169911092865,228.220.134.6,192.168.1.1,UDP,normal
57,0.3568859341358178,161.228.34.28,192.168.1.1,TCP,port_scan
532,1.107377177920692,85.174.51.216,192.168.1.1,TCP,normal
67,0.40340031206846416,7.37.55.109,192.168.1.1,UDP,port_scan
943,263.29545959173606,129.2.176.13,192.168.1.1,TCP,ddos
479,792.4760985834312,70.172.33.37,192.168.1.1,TCP,ddos
780,8.878765100251758,98.186.225.248,192.168.1.1,ICMP,normal
45,0.6234956661459906,71.214.170.71,192.168.1.1,TCP,port_scan
1255,0.5183519676304668,37.142.199.196,192.168.1.1,UDP,normal
1167,3.9272469262994267,118.157.183.227,192.168.1.1,UDP,normal
598,8.424043856368895,16.108.202.89,192.168.1.1,ICMP,normal
566,7.767419479779387,231.67.246.107,192.168.1.1,UDP,normal
831,4.305624600309177,32.56.205.254,192.168.1.1,ICMP,normal
710,8.510020230402713,219.48.53.5,192.168.1.1,UDP,normal
1036,7.393973601445841,90.167.3.23,192.168.1.1,UDP,normal
50,0.40368123022902325,40.91.196.170,192.168.1.1,TCP,port_scan
682,544.9854552790187,75.79.246.11,192.168.1.1,TCP,ddos
453,950.3179793638116,199.68.10.30,192.168.1.1,TCP,ddos
72,369.18261757357715,50.131.204.49,192.168.1.1,TCP,ddos
997,1.724861506794291,58.149.201.233,192.168.1.1,TCP,normal
402,4.698108840143841,118.13.152.233,192.168.1.1,ICMP,normal
972,1.3888680563290816,127.169.95.75,192.168.1.1,ICMP,normal
85,0.9772037226968785,227.161.3.225,192.168.1.1,TCP,port_scan
430,413.450920381643,121.166.38.7,192.168.1.1,TCP,ddos
133,3.8666374988416665,167.223.80.247,192.168.1.1,ICMP,normal
100,0.7282160385771179,199.186.27.203,192.168.1.1,UDP,port_scan
904,1.1346059974522955,222.2.110.84,192.168.1.1,TCP,normal
178,2.546342297454435,133.231.128.254,192.168.1.1,ICMP,normal
1433,7.191871773204401,217.210.250.185,192.168.1.1,TCP,normal
998,172.96411384419804,86.213.46.27,192.168.1.1,TCP,ddos
1022,6.279068964052453,27.125.117.55,192.168.1.1,UDP,normal
303,6.2998558134397715,208.224.78.119,192.168.1.1,ICMP,normal
189,547.5689096989406,223.9.102.39,192.168.1.1,TCP,ddos
633,0.49522148686908896,92.227.37.106,192.168.1.1,UDP,normal
372,6.010201997490725,255.203.126.103,192.168.1.1,TCP,normal
161,2.186628637837409,149.244.34.14,192.168.1.1,ICMP,normal
602,4.935668667186974,48.24.9.175,192.168.1.1,UDP,normal
711,8.770599998464732,128.103.155.131,192.168.1.1,ICMP,normal
930,6.594460395764704,191.7.177.179,192.168.1.1,UDP,normal
758,330.8921117383445,18.156.101.11,192.168.1.1,TCP,ddos
997,0.6089547417298847,100.119.96.246,192.168.1.1,TCP,normal
837,324.679173789089,255.32.78.40,192.168.1.1,TCP,ddos
507,6.578366372685837,4.18.148.123,192.168.1.1,UDP,normal
65,0.7585700415495117,191.111.179.4,192.168.1.1,UDP,port_scan
1019,762.7781243142475,230.182.188.46,192.168.1.1,TCP,ddos
46,0.28084883170679653,250.15.113.173,192.168.1.1,UDP,port_scan
1326,497.2169941642872,153.186.75.13,192.168.1.1,TCP,ddos
599,5.495119765650999,46.69.26.84,192.168.1.1,TCP,normal
267,980.0604097118347,245.3.172.7,192.168.1.1,TCP,ddos
472,8.472295778457026,141.180.3.132,192.168.1.1,TCP,normal
832,9.795496974161011,81.61.62.1,192.168.1.1,TCP,normal
447,9.511233405257522,226.48.45.18,192.168.1.1,TCP,normal
364,0.8408248448954745,93.186.23.63,192.168.1.1,UDP,normal
48,0.22116056214382196,21.210.146.64,192.168.1.1,TCP,port_scan
1302,5.316184818237511,38.20.118.147,192.168.1.1,ICMP,normal
900,5.667785719723335,182.132.138.13,192.168.1.1,UDP,normal
79,1.289514526894157,41.239.181.43,192.168.1.1,TCP,normal
188,1.8255286678875904,118.164.148.130,192.168.1.1,TCP,normal
54,0.7527478099553169,216.109.100.236,192.168.1.1,TCP,port_scan
1478,5.8837321023034015,222.248.166.17,192.168.1.1,UDP,normal
568,8.779285903723572,107.122.242.139,192.168.1.1,UDP,normal
363,5.6441466425710365,101.87.46.124,192.168.1.1,ICMP,normal
49,0.5679533658112247,46.217.163.6,192.168.1.1,UDP,port_scan
580,1.6101107934506682,61.222.43.6,192.168.1.1,ICMP,normal
400,244.75031208373142,50.25.97.4,192.168.1.1,TCP,ddos
366,5.783902964982438,255.191.139.203,192.168.1.1,ICMP,normal
346,710.9952622115496,120.130.10.31,192.168.1.1,TCP,ddos
1171,7.163827456570436,180.202.12.26,192.168.1.1,TCP,normal
44,0.6733029741861014,190.17.233.231,192.168.1.1,UDP,port_scan
42,0.5354916079690287,26.32.135.201,192.168.1.1,UDP,port_scan
76,0.28642594545275635,255.106.207.221,192.168.1.1,TCP,port_scan
574,785.8941868203918,27.114.176.49,192.168.1.1,TCP,ddos
931,621.592168320582,148.217.211.8,192.168.1.1,TCP,ddos
777,0.6371305347683179,118.163.219.158,192.168.1.1,UDP,normal
73,0.9731285128830215,18.176.125.162,192.168.1.1,UDP,port_scan
104,1.8847469542142357,46.15.97.164,192.168.1.1,ICMP,normal
976,3.3442991556197197,15.7.137.124,192.168.1.1,TCP,normal
1061,1.2470177740186352,178.121.101.173,192.168.1.1,UDP,normal
1435,6.112652695899888,186.154.219.158,192.168.1.1,TCP,normal
945,1.1648040061478988,3.255.106.218,192.168.1.1,UDP,normal
409,6.250677091257502,236.234.167.19,192.168.1.1,UDP,normal
1356,650.376316528963,97.97.3.13,192.168.1.1,TCP,ddos
100,0.5366083022227258,207.120.1.79,192.168.1.1,TCP,port_scan
985,5.652638467807711,221.172.49.107,192.168.1.1,TCP,normal
87,0.6618113450742861,158.216.13.132,192.168.1.1,UDP,port_scan
222,6.050641040080076,106.245.189.196,192.168.1.1,ICMP,normal
49,0.13687444235907215,238.15.175.56,192.168.1.1,TCP,port_scan
1081,6.300881902907667,79.240.253.223,192.168.1.1,ICMP,normal
643,2.600135184622491,240.37.91.228,192.168.1.1,ICMP,normal
72,0.1944473148321308,35.102.254.48,192.168.1.1,TCP,port_scan
510,1.7511867717941805,57.227.132.252,192.168.1.1,ICMP,normal
1392,0.870284679965993,48.5.121.207,192.168.1.1,ICMP,normal
796,5.246422810744322,232.149.56.160,192.168.1.1,TCP,normal
88,0.1331803908971728,55.5.249.209,192.168.1.1,TCP,port_scan
715,0.21521405509225786,165.101.214.37,192.168.1.1,TCP,normal
985,6.904266357645214,79.230.211.94,192.168.1.1,ICMP,normal
741,2.7453789002035793,196.160.12.77,192.168.1.1,TCP,normal
368,238.88267687461462,60.4.236.37,192.168.1.1,TCP,ddos
709,3.8731249027213956,8.102.46.121,192.168.1.1,UDP,normal
261,7.8635361368932974,61.242.65.181,192.168.1.1,ICMP,normal
431,8.286680888523739,230.202.61.17,192.168.1.1,UDP,normal
94,0.9770371982441528,143.242.249.138,192.168.1.1,TCP,port_scan
474,6.153945964677063,84.146.171.241,192.168.1.1,UDP,normal
54,0.2180510321892129,128.240.117.176,192.168.1.1,TCP,port_scan
904,831.1999201611801,79.168.51.18,192.168.1.1,TCP,ddos
390,8.740032432509233,236.36.204.1,192.168.1.1,UDP,normal
975,8.271018122701664,146.214.195.219,192.168.1.1,TCP,normal
435,5.87350098940281,177.180.173.50,192.168.1.1,UDP,normal
464,5.7083365498176875,124.64.6.217,192.168.1.1,UDP,normal
189,981.8993441502346,107.157.242.40,192.168.1.1,TCP,ddos
89,0.42638176794944393,220.17.41.145,192.168.1.1,UDP,port_scan
1068,3.82406846567934,247.201.146.85,192.168.1.1,ICMP,normal
1206,4.05107665860224,165.3.185.207,192.168.1.1,ICMP,normal
844,4.962732666173256,224.31.103.12,192.168.1.1,TCP,normal
51,0.53228543522706,181.104.31.74,192.168.1.1,UDP,port_scan
422,259.9716502976697,211.177.10.42,192.168.1.1,TCP,ddos
634,5.436110917393332,24.177.240.98,192.168.1.1,ICMP,normal
1193,6.8629530123998865,3.217.245.188,192.168.1.1,ICMP,normal
46,0.29645849711344585,142.49.217.8,192.168.1.1,TCP,port_scan
1009,0.9886003927864514,75.40.137.26,192.168.1.1,TCP,normal
60,0.6614291124434859,93.178.203.122,192.168.1.1,UDP,port_scan
79,0.7874261132640068,253.89.80.235,192.168.1.1,TCP,port_scan
